:compileJava UP-TO-DATE
:compileGroovy
:processResources UP-TO-DATE
:classes
:run
Start: Thu Nov 12 01:00:13 MST 2015
This is week number 10
Working with 16 remaining teams.  20,922,789,888,000 permutations.
0.0002007381% Iteration: 42,000,000. Elapsed: 2 minutes, 24.112 seconds Best pick: nfl.Pick(iteration:16298273, teams:[ATL, BUF, CHI, CIN, CLE, JAX, MIA, TEN, GB, SF, IND, STL, OAK, PHI, DAL, HOU], total:963.5)
0.0002055175% Iteration: 43,000,000. Elapsed: 2 minutes, 27.209 seconds Best pick: nfl.Pick(iteration:16298273, teams:[ATL, BUF, CHI, CIN, CLE, JAX, MIA, TEN, GB, SF, IND, STL, OAK, PHI, DAL, HOU], total:963.5)
0.0002102970% Iteration: 44,000,000. Elapsed: 2 minutes, 30.268 seconds Best pick: nfl.Pick(iteration:16298273, teams:[ATL, BUF, CHI, CIN, CLE, JAX, MIA, TEN, GB, SF, IND, STL, OAK, PHI, DAL, HOU], total:963.5)
0.0002150765% Iteration: 45,000,000. Elapsed: 2 minutes, 33.275 seconds Best pick: nfl.Pick(iteration:16298273, teams:[ATL, BUF, CHI, CIN, CLE, JAX, MIA, TEN, GB, SF, IND, STL, OAK, PHI, DAL, HOU], total:963.5)
0.0002198560% Iteration: 46,000,000. Elapsed: 2 minutes, 36.317 seconds Best pick: nfl.Pick(iteration:16298273, teams:[ATL, BUF, CHI, CIN, CLE, JAX, MIA, TEN, GB, SF, IND, STL, OAK, PHI, DAL, HOU], total:963.5)
0.0002246354% Iteration: 47,000,000. Elapsed: 2 minutes, 39.307 seconds Best pick: nfl.Pick(iteration:16298273, teams:[ATL, BUF, CHI, CIN, CLE, JAX, MIA, TEN, GB, SF, IND, STL, OAK, PHI, DAL, HOU], total:963.5)
0.0002294149% Iteration: 48,000,000. Elapsed: 2 minutes, 42.319 seconds Best pick: nfl.Pick(iteration:16298273, teams:[ATL, BUF, CHI, CIN, CLE, JAX, MIA, TEN, GB, SF, IND, STL, OAK, PHI, DAL, HOU], total:963.5)
0.0002341944% Iteration: 49,000,000. Elapsed: 2 minutes, 45.301 seconds Best pick: nfl.Pick(iteration:16298273, teams:[ATL, BUF, CHI, CIN, CLE, JAX, MIA, TEN, GB, SF, IND, STL, OAK, PHI, DAL, HOU], total:963.5)
0.0002389739% Iteration: 50,000,000. Elapsed: 2 minutes, 48.280 seconds Best pick: nfl.Pick(iteration:16298273, teams:[ATL, BUF, CHI, CIN, CLE, JAX, MIA, TEN, GB, SF, IND, STL, OAK, PHI, DAL, HOU], total:963.5)
0.0002437533% Iteration: 51,000,000. Elapsed: 2 minutes, 51.286 seconds Best pick: nfl.Pick(iteration:16298273, teams:[ATL, BUF, CHI, CIN, CLE, JAX, MIA, TEN, GB, SF, IND, STL, OAK, PHI, DAL, HOU], total:963.5)
