:compileJava UP-TO-DATE
:compileGroovy UP-TO-DATE
:processResources UP-TO-DATE
:classes UP-TO-DATE
:run
Start: Thu Nov 05 13:29:27 MST 2015
This is week number 9
Working with 18 remaining teams.  6,402,373,705,728,000 permutations.
0.0000006404% Iteration: 41,000,000. Elapsed: 3 minutes, 8.556 seconds Best pick: nfl.Pick(iteration:8319825, teams:[ATL, BUF, CHI, CIN, CLE, DAL, GB, JAX, MIA, TEN, NYJ, SF, IND, STL, OAK, PHI, HOU, PIT], total:933.0)
0.0000006560% Iteration: 42,000,000. Elapsed: 3 minutes, 12.998 seconds Best pick: nfl.Pick(iteration:8319825, teams:[ATL, BUF, CHI, CIN, CLE, DAL, GB, JAX, MIA, TEN, NYJ, SF, IND, STL, OAK, PHI, HOU, PIT], total:933.0)
0.0000006716% Iteration: 43,000,000. Elapsed: 3 minutes, 17.481 seconds Best pick: nfl.Pick(iteration:8319825, teams:[ATL, BUF, CHI, CIN, CLE, DAL, GB, JAX, MIA, TEN, NYJ, SF, IND, STL, OAK, PHI, HOU, PIT], total:933.0)
0.0000006872% Iteration: 44,000,000. Elapsed: 3 minutes, 22.006 seconds Best pick: nfl.Pick(iteration:8319825, teams:[ATL, BUF, CHI, CIN, CLE, DAL, GB, JAX, MIA, TEN, NYJ, SF, IND, STL, OAK, PHI, HOU, PIT], total:933.0)
0.0000007029% Iteration: 45,000,000. Elapsed: 3 minutes, 26.465 seconds Best pick: nfl.Pick(iteration:8319825, teams:[ATL, BUF, CHI, CIN, CLE, DAL, GB, JAX, MIA, TEN, NYJ, SF, IND, STL, OAK, PHI, HOU, PIT], total:933.0)
0.0000007185% Iteration: 46,000,000. Elapsed: 3 minutes, 30.966 seconds Best pick: nfl.Pick(iteration:8319825, teams:[ATL, BUF, CHI, CIN, CLE, DAL, GB, JAX, MIA, TEN, NYJ, SF, IND, STL, OAK, PHI, HOU, PIT], total:933.0)
0.0000007341% Iteration: 47,000,000. Elapsed: 3 minutes, 35.417 seconds Best pick: nfl.Pick(iteration:8319825, teams:[ATL, BUF, CHI, CIN, CLE, DAL, GB, JAX, MIA, TEN, NYJ, SF, IND, STL, OAK, PHI, HOU, PIT], total:933.0)
0.0000007497% Iteration: 48,000,000. Elapsed: 3 minutes, 39.926 seconds Best pick: nfl.Pick(iteration:8319825, teams:[ATL, BUF, CHI, CIN, CLE, DAL, GB, JAX, MIA, TEN, NYJ, SF, IND, STL, OAK, PHI, HOU, PIT], total:933.0)
0.0000007653% Iteration: 49,000,000. Elapsed: 3 minutes, 44.438 seconds Best pick: nfl.Pick(iteration:8319825, teams:[ATL, BUF, CHI, CIN, CLE, DAL, GB, JAX, MIA, TEN, NYJ, SF, IND, STL, OAK, PHI, HOU, PIT], total:933.0)
0.0000007810% Iteration: 50,000,000. Elapsed: 3 minutes, 48.963 seconds Best pick: nfl.Pick(iteration:8319825, teams:[ATL, BUF, CHI, CIN, CLE, DAL, GB, JAX, MIA, TEN, NYJ, SF, IND, STL, OAK, PHI, HOU, PIT], total:933.0)
