:compileJava UP-TO-DATE
:compileGroovy UP-TO-DATE
:processResources UP-TO-DATE
:classes UP-TO-DATE
:run
Start: Tue Oct 20 22:10:52 MDT 2015
This is week number 7
Working with 22 remaining teams.  1,124,000,727,777,607,680,000 permutations.
0.0000000000% Iteration: 46,000,000. Elapsed: 3 minutes, 57.289 seconds Best pick: nfl.Pick(iteration:45648585, teams:[ARI, ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, GB, IND, JAX, PIT, TEN, MIA, NYJ, STL, WAS, OAK, PHI, HOU, SF], total:964.5)
0.0000000000% Iteration: 47,000,000. Elapsed: 4 minutes, 2.573 seconds Best pick: nfl.Pick(iteration:45648585, teams:[ARI, ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, GB, IND, JAX, PIT, TEN, MIA, NYJ, STL, WAS, OAK, PHI, HOU, SF], total:964.5)
0.0000000000% Iteration: 48,000,000. Elapsed: 4 minutes, 8.028 seconds Best pick: nfl.Pick(iteration:45648585, teams:[ARI, ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, GB, IND, JAX, PIT, TEN, MIA, NYJ, STL, WAS, OAK, PHI, HOU, SF], total:964.5)
0.0000000000% Iteration: 49,000,000. Elapsed: 4 minutes, 13.343 seconds Best pick: nfl.Pick(iteration:45648585, teams:[ARI, ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, GB, IND, JAX, PIT, TEN, MIA, NYJ, STL, WAS, OAK, PHI, HOU, SF], total:964.5)
0.0000000000% Iteration: 50,000,000. Elapsed: 4 minutes, 18.855 seconds Best pick: nfl.Pick(iteration:45648585, teams:[ARI, ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, GB, IND, JAX, PIT, TEN, MIA, NYJ, STL, WAS, OAK, PHI, HOU, SF], total:964.5)
0.0000000000% Iteration: 51,000,000. Elapsed: 4 minutes, 24.202 seconds Best pick: nfl.Pick(iteration:45648585, teams:[ARI, ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, GB, IND, JAX, PIT, TEN, MIA, NYJ, STL, WAS, OAK, PHI, HOU, SF], total:964.5)
0.0000000000% Iteration: 52,000,000. Elapsed: 4 minutes, 29.457 seconds Best pick: nfl.Pick(iteration:45648585, teams:[ARI, ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, GB, IND, JAX, PIT, TEN, MIA, NYJ, STL, WAS, OAK, PHI, HOU, SF], total:964.5)
0.0000000000% Iteration: 53,000,000. Elapsed: 4 minutes, 34.679 seconds Best pick: nfl.Pick(iteration:45648585, teams:[ARI, ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, GB, IND, JAX, PIT, TEN, MIA, NYJ, STL, WAS, OAK, PHI, HOU, SF], total:964.5)
0.0000000000% Iteration: 54,000,000. Elapsed: 4 minutes, 39.871 seconds Best pick: nfl.Pick(iteration:45648585, teams:[ARI, ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, GB, IND, JAX, PIT, TEN, MIA, NYJ, STL, WAS, OAK, PHI, HOU, SF], total:964.5)
0.0000000000% Iteration: 55,000,000. Elapsed: 4 minutes, 45.053 seconds Best pick: nfl.Pick(iteration:45648585, teams:[ARI, ATL, BAL, BUF, CAR, CHI, CIN, CLE, DAL, GB, IND, JAX, PIT, TEN, MIA, NYJ, STL, WAS, OAK, PHI, HOU, SF], total:964.5)
