:compileJava UP-TO-DATE
:compileGroovy UP-TO-DATE
:processResources UP-TO-DATE
:classes UP-TO-DATE
:run
Start: Wed Nov 18 23:13:46 MST 2015
This is week number 11
Working with 14 remaining teams.  87,178,291,200 permutations.
0.0607949495% Iteration: 53,000,000. Elapsed: 2 minutes, 36.425 seconds Best pick: nfl.Pick(iteration:47516033, teams:[ATL, BUF, CLE, GB, CHI, TEN, JAX, SF, IND, STL, MIA, PHI, DAL, HOU], total:-32.5)
0.0619420260% Iteration: 54,000,000. Elapsed: 2 minutes, 39.271 seconds Best pick: nfl.Pick(iteration:47516033, teams:[ATL, BUF, CLE, GB, CHI, TEN, JAX, SF, IND, STL, MIA, PHI, DAL, HOU], total:-32.5)
0.0630891025% Iteration: 55,000,000. Elapsed: 2 minutes, 42.133 seconds Best pick: nfl.Pick(iteration:47516033, teams:[ATL, BUF, CLE, GB, CHI, TEN, JAX, SF, IND, STL, MIA, PHI, DAL, HOU], total:-32.5)
0.0642361790% Iteration: 56,000,000. Elapsed: 2 minutes, 45.009 seconds Best pick: nfl.Pick(iteration:47516033, teams:[ATL, BUF, CLE, GB, CHI, TEN, JAX, SF, IND, STL, MIA, PHI, DAL, HOU], total:-32.5)
0.0653832480% Iteration: 57,000,000. Elapsed: 2 minutes, 47.848 seconds Best pick: nfl.Pick(iteration:47516033, teams:[ATL, BUF, CLE, GB, CHI, TEN, JAX, SF, IND, STL, MIA, PHI, DAL, HOU], total:-32.5)
0.0665303245% Iteration: 58,000,000. Elapsed: 2 minutes, 50.711 seconds Best pick: nfl.Pick(iteration:47516033, teams:[ATL, BUF, CLE, GB, CHI, TEN, JAX, SF, IND, STL, MIA, PHI, DAL, HOU], total:-32.5)
0.0676774010% Iteration: 59,000,000. Elapsed: 2 minutes, 53.556 seconds Best pick: nfl.Pick(iteration:47516033, teams:[ATL, BUF, CLE, GB, CHI, TEN, JAX, SF, IND, STL, MIA, PHI, DAL, HOU], total:-32.5)
0.0688244775% Iteration: 60,000,000. Elapsed: 2 minutes, 56.422 seconds Best pick: nfl.Pick(iteration:47516033, teams:[ATL, BUF, CLE, GB, CHI, TEN, JAX, SF, IND, STL, MIA, PHI, DAL, HOU], total:-32.5)
0.0699715465% Iteration: 61,000,000. Elapsed: 2 minutes, 59.273 seconds Best pick: nfl.Pick(iteration:47516033, teams:[ATL, BUF, CLE, GB, CHI, TEN, JAX, SF, IND, STL, MIA, PHI, DAL, HOU], total:-32.5)
0.0711186230% Iteration: 62,000,000. Elapsed: 3 minutes, 2.123 seconds Best pick: nfl.Pick(iteration:47516033, teams:[ATL, BUF, CLE, GB, CHI, TEN, JAX, SF, IND, STL, MIA, PHI, DAL, HOU], total:-32.5)
0.0722656995% Iteration: 63,000,000. Elapsed: 3 minutes, 4.952 seconds Best pick: nfl.Pick(iteration:47516033, teams:[ATL, BUF, CLE, GB, CHI, TEN, JAX, SF, IND, STL, MIA, PHI, DAL, HOU], total:-32.5)
0.0734127685% Iteration: 64,000,000. Elapsed: 3 minutes, 7.805 seconds Best pick: nfl.Pick(iteration:47516033, teams:[ATL, BUF, CLE, GB, CHI, TEN, JAX, SF, IND, STL, MIA, PHI, DAL, HOU], total:-32.5)
0.0745598450% Iteration: 65,000,000. Elapsed: 3 minutes, 10.673 seconds Best pick: nfl.Pick(iteration:47516033, teams:[ATL, BUF, CLE, GB, CHI, TEN, JAX, SF, IND, STL, MIA, PHI, DAL, HOU], total:-32.5)
0.0757069215% Iteration: 66,000,000. Elapsed: 3 minutes, 13.521 seconds Best pick: nfl.Pick(iteration:47516033, teams:[ATL, BUF, CLE, GB, CHI, TEN, JAX, SF, IND, STL, MIA, PHI, DAL, HOU], total:-32.5)
0.0768539980% Iteration: 67,000,000. Elapsed: 3 minutes, 16.398 seconds Best pick: nfl.Pick(iteration:47516033, teams:[ATL, BUF, CLE, GB, CHI, TEN, JAX, SF, IND, STL, MIA, PHI, DAL, HOU], total:-32.5)
0.0780010745% Iteration: 68,000,000. Elapsed: 3 minutes, 19.245 seconds Best pick: nfl.Pick(iteration:47516033, teams:[ATL, BUF, CLE, GB, CHI, TEN, JAX, SF, IND, STL, MIA, PHI, DAL, HOU], total:-32.5)
0.0791481435% Iteration: 69,000,000. Elapsed: 3 minutes, 22.114 seconds Best pick: nfl.Pick(iteration:47516033, teams:[ATL, BUF, CLE, GB, CHI, TEN, JAX, SF, IND, STL, MIA, PHI, DAL, HOU], total:-32.5)
0.0802952200% Iteration: 70,000,000. Elapsed: 3 minutes, 24.958 seconds Best pick: nfl.Pick(iteration:47516033, teams:[ATL, BUF, CLE, GB, CHI, TEN, JAX, SF, IND, STL, MIA, PHI, DAL, HOU], total:-32.5)
0.0814422965% Iteration: 71,000,000. Elapsed: 3 minutes, 27.838 seconds Best pick: nfl.Pick(iteration:47516033, teams:[ATL, BUF, CLE, GB, CHI, TEN, JAX, SF, IND, STL, MIA, PHI, DAL, HOU], total:-32.5)
0.0825893655% Iteration: 72,000,000. Elapsed: 3 minutes, 30.712 seconds Best pick: nfl.Pick(iteration:47516033, teams:[ATL, BUF, CLE, GB, CHI, TEN, JAX, SF, IND, STL, MIA, PHI, DAL, HOU], total:-32.5)
0.0837364420% Iteration: 73,000,000. Elapsed: 3 minutes, 33.575 seconds Best pick: nfl.Pick(iteration:47516033, teams:[ATL, BUF, CLE, GB, CHI, TEN, JAX, SF, IND, STL, MIA, PHI, DAL, HOU], total:-32.5)
0.0848835185% Iteration: 74,000,000. Elapsed: 3 minutes, 36.418 seconds Best pick: nfl.Pick(iteration:47516033, teams:[ATL, BUF, CLE, GB, CHI, TEN, JAX, SF, IND, STL, MIA, PHI, DAL, HOU], total:-32.5)
0.0860305876% Iteration: 75,000,000. Elapsed: 3 minutes, 39.239 seconds Best pick: nfl.Pick(iteration:47516033, teams:[ATL, BUF, CLE, GB, CHI, TEN, JAX, SF, IND, STL, MIA, PHI, DAL, HOU], total:-32.5)
0.0871776640% Iteration: 76,000,000. Elapsed: 3 minutes, 42.120 seconds Best pick: nfl.Pick(iteration:47516033, teams:[ATL, BUF, CLE, GB, CHI, TEN, JAX, SF, IND, STL, MIA, PHI, DAL, HOU], total:-32.5)
0.0883247405% Iteration: 77,000,000. Elapsed: 3 minutes, 44.950 seconds Best pick: nfl.Pick(iteration:47516033, teams:[ATL, BUF, CLE, GB, CHI, TEN, JAX, SF, IND, STL, MIA, PHI, DAL, HOU], total:-32.5)
0.0894718170% Iteration: 78,000,000. Elapsed: 3 minutes, 47.924 seconds Best pick: nfl.Pick(iteration:47516033, teams:[ATL, BUF, CLE, GB, CHI, TEN, JAX, SF, IND, STL, MIA, PHI, DAL, HOU], total:-32.5)
0.0906188935% Iteration: 79,000,000. Elapsed: 3 minutes, 51.048 seconds Best pick: nfl.Pick(iteration:47516033, teams:[ATL, BUF, CLE, GB, CHI, TEN, JAX, SF, IND, STL, MIA, PHI, DAL, HOU], total:-32.5)
0.0917659700% Iteration: 80,000,000. Elapsed: 3 minutes, 54.188 seconds Best pick: nfl.Pick(iteration:47516033, teams:[ATL, BUF, CLE, GB, CHI, TEN, JAX, SF, IND, STL, MIA, PHI, DAL, HOU], total:-32.5)
0.0929130390% Iteration: 81,000,000. Elapsed: 3 minutes, 57.211 seconds Best pick: nfl.Pick(iteration:47516033, teams:[ATL, BUF, CLE, GB, CHI, TEN, JAX, SF, IND, STL, MIA, PHI, DAL, HOU], total:-32.5)
0.0940601155% Iteration: 82,000,000. Elapsed: 4 minutes, 0.191 seconds Best pick: nfl.Pick(iteration:47516033, teams:[ATL, BUF, CLE, GB, CHI, TEN, JAX, SF, IND, STL, MIA, PHI, DAL, HOU], total:-32.5)
0.0952071846% Iteration: 83,000,000. Elapsed: 4 minutes, 3.009 seconds Best pick: nfl.Pick(iteration:47516033, teams:[ATL, BUF, CLE, GB, CHI, TEN, JAX, SF, IND, STL, MIA, PHI, DAL, HOU], total:-32.5)
0.0963542610% Iteration: 84,000,000. Elapsed: 4 minutes, 5.848 seconds Best pick: nfl.Pick(iteration:47516033, teams:[ATL, BUF, CLE, GB, CHI, TEN, JAX, SF, IND, STL, MIA, PHI, DAL, HOU], total:-32.5)
0.0975013375% Iteration: 85,000,000. Elapsed: 4 minutes, 8.882 seconds Best pick: nfl.Pick(iteration:47516033, teams:[ATL, BUF, CLE, GB, CHI, TEN, JAX, SF, IND, STL, MIA, PHI, DAL, HOU], total:-32.5)
0.0986484140% Iteration: 86,000,000. Elapsed: 4 minutes, 11.773 seconds Best pick: nfl.Pick(iteration:47516033, teams:[ATL, BUF, CLE, GB, CHI, TEN, JAX, SF, IND, STL, MIA, PHI, DAL, HOU], total:-32.5)
0.0997954831% Iteration: 87,000,000. Elapsed: 4 minutes, 14.617 seconds Best pick: nfl.Pick(iteration:47516033, teams:[ATL, BUF, CLE, GB, CHI, TEN, JAX, SF, IND, STL, MIA, PHI, DAL, HOU], total:-32.5)
0.1009425595% Iteration: 88,000,000. Elapsed: 4 minutes, 17.434 seconds Best pick: nfl.Pick(iteration:47516033, teams:[ATL, BUF, CLE, GB, CHI, TEN, JAX, SF, IND, STL, MIA, PHI, DAL, HOU], total:-32.5)
0.1020896360% Iteration: 89,000,000. Elapsed: 4 minutes, 20.273 seconds Best pick: nfl.Pick(iteration:47516033, teams:[ATL, BUF, CLE, GB, CHI, TEN, JAX, SF, IND, STL, MIA, PHI, DAL, HOU], total:-32.5)
0.1032367125% Iteration: 90,000,000. Elapsed: 4 minutes, 23.209 seconds Best pick: nfl.Pick(iteration:47516033, teams:[ATL, BUF, CLE, GB, CHI, TEN, JAX, SF, IND, STL, MIA, PHI, DAL, HOU], total:-32.5)
