:compileJava UP-TO-DATE
:compileGroovy UP-TO-DATE
:processResources UP-TO-DATE
:classes UP-TO-DATE
:run
Start: Wed Nov 25 00:41:58 MST 2015
This is week number 12
Working with 12 remaining teams.  479,001,600 permutations.
16.7014064789% Iteration: 80,000,000. Elapsed: 3 minutes, 18.945 seconds Best pick: nfl.Pick(iteration:15209387, teams:[ATL, GB, CHI, TEN, CLE, SF, BUF, STL, HOU, MIA, DAL, IND], total:-41.0)
16.9101734161% Iteration: 81,000,000. Elapsed: 3 minutes, 21.448 seconds Best pick: nfl.Pick(iteration:15209387, teams:[ATL, GB, CHI, TEN, CLE, SF, BUF, STL, HOU, MIA, DAL, IND], total:-41.0)
17.1189403534% Iteration: 82,000,000. Elapsed: 3 minutes, 23.952 seconds Best pick: nfl.Pick(iteration:15209387, teams:[ATL, GB, CHI, TEN, CLE, SF, BUF, STL, HOU, MIA, DAL, IND], total:-41.0)
17.3277072906% Iteration: 83,000,000. Elapsed: 3 minutes, 26.471 seconds Best pick: nfl.Pick(iteration:15209387, teams:[ATL, GB, CHI, TEN, CLE, SF, BUF, STL, HOU, MIA, DAL, IND], total:-41.0)
17.5364761353% Iteration: 84,000,000. Elapsed: 3 minutes, 28.949 seconds Best pick: nfl.Pick(iteration:15209387, teams:[ATL, GB, CHI, TEN, CLE, SF, BUF, STL, HOU, MIA, DAL, IND], total:-41.0)
17.7452430725% Iteration: 85,000,000. Elapsed: 3 minutes, 31.435 seconds Best pick: nfl.Pick(iteration:15209387, teams:[ATL, GB, CHI, TEN, CLE, SF, BUF, STL, HOU, MIA, DAL, IND], total:-41.0)
17.9540119171% Iteration: 86,000,000. Elapsed: 3 minutes, 33.903 seconds Best pick: nfl.Pick(iteration:15209387, teams:[ATL, GB, CHI, TEN, CLE, SF, BUF, STL, HOU, MIA, DAL, IND], total:-41.0)
18.1627788544% Iteration: 87,000,000. Elapsed: 3 minutes, 36.373 seconds Best pick: nfl.Pick(iteration:15209387, teams:[ATL, GB, CHI, TEN, CLE, SF, BUF, STL, HOU, MIA, DAL, IND], total:-41.0)
18.3715457916% Iteration: 88,000,000. Elapsed: 3 minutes, 38.847 seconds Best pick: nfl.Pick(iteration:15209387, teams:[ATL, GB, CHI, TEN, CLE, SF, BUF, STL, HOU, MIA, DAL, IND], total:-41.0)
18.5803127289% Iteration: 89,000,000. Elapsed: 3 minutes, 41.371 seconds Best pick: nfl.Pick(iteration:15209387, teams:[ATL, GB, CHI, TEN, CLE, SF, BUF, STL, HOU, MIA, DAL, IND], total:-41.0)
