:compileJava UP-TO-DATE
:compileGroovy
:processResources UP-TO-DATE
:classes
:run
Start: Thu Oct 30 00:55:52 MDT 2014
This is week number 9
Working with 18 remaining teams.  6,402,373,705,728,000 permutations.
0.0000005311% Iteration: 34,000,000. Elapsed: 2 minutes, 49.530 seconds Best pick: Pick(iteration:27558171, teams:[ARI, BAL, CAR, CIN, DET, GB, IND, SD, NYG, STL, MIN, SF, KC, NE, JAX, OAK, MIA, SEA], total:-80.0)
0.0000005467% Iteration: 35,000,000. Elapsed: 2 minutes, 54.708 seconds Best pick: Pick(iteration:27558171, teams:[ARI, BAL, CAR, CIN, DET, GB, IND, SD, NYG, STL, MIN, SF, KC, NE, JAX, OAK, MIA, SEA], total:-80.0)
0.0000005623% Iteration: 36,000,000. Elapsed: 2 minutes, 59.763 seconds Best pick: Pick(iteration:27558171, teams:[ARI, BAL, CAR, CIN, DET, GB, IND, SD, NYG, STL, MIN, SF, KC, NE, JAX, OAK, MIA, SEA], total:-80.0)
0.0000005779% Iteration: 37,000,000. Elapsed: 3 minutes, 4.893 seconds Best pick: Pick(iteration:27558171, teams:[ARI, BAL, CAR, CIN, DET, GB, IND, SD, NYG, STL, MIN, SF, KC, NE, JAX, OAK, MIA, SEA], total:-80.0)
0.0000005935% Iteration: 38,000,000. Elapsed: 3 minutes, 9.963 seconds Best pick: Pick(iteration:27558171, teams:[ARI, BAL, CAR, CIN, DET, GB, IND, SD, NYG, STL, MIN, SF, KC, NE, JAX, OAK, MIA, SEA], total:-80.0)
0.0000006091% Iteration: 39,000,000. Elapsed: 3 minutes, 15.071 seconds Best pick: Pick(iteration:27558171, teams:[ARI, BAL, CAR, CIN, DET, GB, IND, SD, NYG, STL, MIN, SF, KC, NE, JAX, OAK, MIA, SEA], total:-80.0)
0.0000006248% Iteration: 40,000,000. Elapsed: 3 minutes, 19.967 seconds Best pick: Pick(iteration:27558171, teams:[ARI, BAL, CAR, CIN, DET, GB, IND, SD, NYG, STL, MIN, SF, KC, NE, JAX, OAK, MIA, SEA], total:-80.0)
0.0000006404% Iteration: 41,000,000. Elapsed: 3 minutes, 25.037 seconds Best pick: Pick(iteration:27558171, teams:[ARI, BAL, CAR, CIN, DET, GB, IND, SD, NYG, STL, MIN, SF, KC, NE, JAX, OAK, MIA, SEA], total:-80.0)
0.0000006560% Iteration: 42,000,000. Elapsed: 3 minutes, 30.073 seconds Best pick: Pick(iteration:27558171, teams:[ARI, BAL, CAR, CIN, DET, GB, IND, SD, NYG, STL, MIN, SF, KC, NE, JAX, OAK, MIA, SEA], total:-80.0)
0.0000006716% Iteration: 43,000,000. Elapsed: 3 minutes, 35.099 seconds Best pick: Pick(iteration:27558171, teams:[ARI, BAL, CAR, CIN, DET, GB, IND, SD, NYG, STL, MIN, SF, KC, NE, JAX, OAK, MIA, SEA], total:-80.0)
0.0000006872% Iteration: 44,000,000. Elapsed: 3 minutes, 40.310 seconds Best pick: Pick(iteration:27558171, teams:[ARI, BAL, CAR, CIN, DET, GB, IND, SD, NYG, STL, MIN, SF, KC, NE, JAX, OAK, MIA, SEA], total:-80.0)
0.0000007029% Iteration: 45,000,000. Elapsed: 3 minutes, 45.478 seconds Best pick: Pick(iteration:27558171, teams:[ARI, BAL, CAR, CIN, DET, GB, IND, SD, NYG, STL, MIN, SF, KC, NE, JAX, OAK, MIA, SEA], total:-80.0)
0.0000007185% Iteration: 46,000,000. Elapsed: 3 minutes, 50.657 seconds Best pick: Pick(iteration:27558171, teams:[ARI, BAL, CAR, CIN, DET, GB, IND, SD, NYG, STL, MIN, SF, KC, NE, JAX, OAK, MIA, SEA], total:-80.0)
0.0000007341% Iteration: 47,000,000. Elapsed: 3 minutes, 55.915 seconds Best pick: Pick(iteration:27558171, teams:[ARI, BAL, CAR, CIN, DET, GB, IND, SD, NYG, STL, MIN, SF, KC, NE, JAX, OAK, MIA, SEA], total:-80.0)
0.0000007497% Iteration: 48,000,000. Elapsed: 4 minutes, 1.227 seconds Best pick: Pick(iteration:27558171, teams:[ARI, BAL, CAR, CIN, DET, GB, IND, SD, NYG, STL, MIN, SF, KC, NE, JAX, OAK, MIA, SEA], total:-80.0)
0.0000007653% Iteration: 49,000,000. Elapsed: 4 minutes, 6.604 seconds Best pick: Pick(iteration:27558171, teams:[ARI, BAL, CAR, CIN, DET, GB, IND, SD, NYG, STL, MIN, SF, KC, NE, JAX, OAK, MIA, SEA], total:-80.0)
0.0000007810% Iteration: 50,000,000. Elapsed: 4 minutes, 11.832 seconds Best pick: Pick(iteration:27558171, teams:[ARI, BAL, CAR, CIN, DET, GB, IND, SD, NYG, STL, MIN, SF, KC, NE, JAX, OAK, MIA, SEA], total:-80.0)
0.0000007966% Iteration: 51,000,000. Elapsed: 4 minutes, 17.180 seconds Best pick: Pick(iteration:27558171, teams:[ARI, BAL, CAR, CIN, DET, GB, IND, SD, NYG, STL, MIN, SF, KC, NE, JAX, OAK, MIA, SEA], total:-80.0)
