:compileJava UP-TO-DATE
:compileGroovy
:processResources UP-TO-DATE
:classes
:run
Start: Tue Sep 29 20:09:38 MDT 2015
This is week number 12
Working with 12 remaining teams.  479,001,600 permutations.
10.6471462250% Iteration: 51,000,000. Elapsed: 2 minutes, 42.432 seconds Best pick: Pick(iteration:9766829, teams:[BAL, IND, NYG, STL, DET, SF, CAR, KC, JAX, OAK, MIN, NE], total:-65.0)
10.8559141159% Iteration: 52,000,000. Elapsed: 2 minutes, 45.245 seconds Best pick: Pick(iteration:9766829, teams:[BAL, IND, NYG, STL, DET, SF, CAR, KC, JAX, OAK, MIN, NE], total:-65.0)
11.0646810532% Iteration: 53,000,000. Elapsed: 2 minutes, 48.014 seconds Best pick: Pick(iteration:9766829, teams:[BAL, IND, NYG, STL, DET, SF, CAR, KC, JAX, OAK, MIN, NE], total:-65.0)
11.2734489441% Iteration: 54,000,000. Elapsed: 2 minutes, 50.834 seconds Best pick: Pick(iteration:9766829, teams:[BAL, IND, NYG, STL, DET, SF, CAR, KC, JAX, OAK, MIN, NE], total:-65.0)
11.4822168350% Iteration: 55,000,000. Elapsed: 2 minutes, 53.618 seconds Best pick: Pick(iteration:9766829, teams:[BAL, IND, NYG, STL, DET, SF, CAR, KC, JAX, OAK, MIN, NE], total:-65.0)
11.6909837723% Iteration: 56,000,000. Elapsed: 2 minutes, 56.389 seconds Best pick: Pick(iteration:9766829, teams:[BAL, IND, NYG, STL, DET, SF, CAR, KC, JAX, OAK, MIN, NE], total:-65.0)
11.8997516632% Iteration: 57,000,000. Elapsed: 2 minutes, 59.178 seconds Best pick: Pick(iteration:9766829, teams:[BAL, IND, NYG, STL, DET, SF, CAR, KC, JAX, OAK, MIN, NE], total:-65.0)
12.1085186005% Iteration: 58,000,000. Elapsed: 3 minutes, 1.975 seconds Best pick: Pick(iteration:9766829, teams:[BAL, IND, NYG, STL, DET, SF, CAR, KC, JAX, OAK, MIN, NE], total:-65.0)
12.3172864914% Iteration: 59,000,000. Elapsed: 3 minutes, 4.723 seconds Best pick: Pick(iteration:9766829, teams:[BAL, IND, NYG, STL, DET, SF, CAR, KC, JAX, OAK, MIN, NE], total:-65.0)
12.5260543823% Iteration: 60,000,000. Elapsed: 3 minutes, 7.500 seconds Best pick: Pick(iteration:9766829, teams:[BAL, IND, NYG, STL, DET, SF, CAR, KC, JAX, OAK, MIN, NE], total:-65.0)
12.7348213196% Iteration: 61,000,000. Elapsed: 3 minutes, 10.248 seconds Best pick: Pick(iteration:9766829, teams:[BAL, IND, NYG, STL, DET, SF, CAR, KC, JAX, OAK, MIN, NE], total:-65.0)
12.9435901642% Iteration: 62,000,000. Elapsed: 3 minutes, 13.002 seconds Best pick: Pick(iteration:9766829, teams:[BAL, IND, NYG, STL, DET, SF, CAR, KC, JAX, OAK, MIN, NE], total:-65.0)
13.1523561478% Iteration: 63,000,000. Elapsed: 3 minutes, 15.769 seconds Best pick: Pick(iteration:9766829, teams:[BAL, IND, NYG, STL, DET, SF, CAR, KC, JAX, OAK, MIN, NE], total:-65.0)
13.3611249924% Iteration: 64,000,000. Elapsed: 3 minutes, 18.527 seconds Best pick: Pick(iteration:9766829, teams:[BAL, IND, NYG, STL, DET, SF, CAR, KC, JAX, OAK, MIN, NE], total:-65.0)
13.5698909760% Iteration: 65,000,000. Elapsed: 3 minutes, 21.283 seconds Best pick: Pick(iteration:9766829, teams:[BAL, IND, NYG, STL, DET, SF, CAR, KC, JAX, OAK, MIN, NE], total:-65.0)
13.7786598206% Iteration: 66,000,000. Elapsed: 3 minutes, 24.030 seconds Best pick: Pick(iteration:9766829, teams:[BAL, IND, NYG, STL, DET, SF, CAR, KC, JAX, OAK, MIN, NE], total:-65.0)
13.9874267578% Iteration: 67,000,000. Elapsed: 3 minutes, 26.762 seconds Best pick: Pick(iteration:9766829, teams:[BAL, IND, NYG, STL, DET, SF, CAR, KC, JAX, OAK, MIN, NE], total:-65.0)
14.1961946487% Iteration: 68,000,000. Elapsed: 3 minutes, 29.568 seconds Best pick: Pick(iteration:9766829, teams:[BAL, IND, NYG, STL, DET, SF, CAR, KC, JAX, OAK, MIN, NE], total:-65.0)
14.4049625397% Iteration: 69,000,000. Elapsed: 3 minutes, 32.312 seconds Best pick: Pick(iteration:9766829, teams:[BAL, IND, NYG, STL, DET, SF, CAR, KC, JAX, OAK, MIN, NE], total:-65.0)
14.6137294769% Iteration: 70,000,000. Elapsed: 3 minutes, 35.070 seconds Best pick: Pick(iteration:9766829, teams:[BAL, IND, NYG, STL, DET, SF, CAR, KC, JAX, OAK, MIN, NE], total:-65.0)
14.8224983215% Iteration: 71,000,000. Elapsed: 3 minutes, 37.831 seconds Best pick: Pick(iteration:9766829, teams:[BAL, IND, NYG, STL, DET, SF, CAR, KC, JAX, OAK, MIN, NE], total:-65.0)
15.0312643051% Iteration: 72,000,000. Elapsed: 3 minutes, 40.599 seconds Best pick: Pick(iteration:9766829, teams:[BAL, IND, NYG, STL, DET, SF, CAR, KC, JAX, OAK, MIN, NE], total:-65.0)
15.2400331497% Iteration: 73,000,000. Elapsed: 3 minutes, 43.360 seconds Best pick: Pick(iteration:9766829, teams:[BAL, IND, NYG, STL, DET, SF, CAR, KC, JAX, OAK, MIN, NE], total:-65.0)
15.4488000870% Iteration: 74,000,000. Elapsed: 3 minutes, 46.125 seconds Best pick: Pick(iteration:9766829, teams:[BAL, IND, NYG, STL, DET, SF, CAR, KC, JAX, OAK, MIN, NE], total:-65.0)
15.6575679779% Iteration: 75,000,000. Elapsed: 3 minutes, 48.894 seconds Best pick: Pick(iteration:9766829, teams:[BAL, IND, NYG, STL, DET, SF, CAR, KC, JAX, OAK, MIN, NE], total:-65.0)
